STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor
         44;202506251340;    3;   -999;  20.9;  24.8;  74.1;  16.1;eor
         44;202506251350;    3;   -999;  21.6;  28.4;  74.2;  16.8;eor
         44;202506251400;    3;   -999;  21.7;  29.3;  73.4;  16.7;eor
         44;202506251410;    3;   -999;  22.1;  28.4;  73.7;  17.2;eor
         44;202506251420;    3;   -999;  21.4;  24.1;  74.6;  16.7;eor
         44;202506251430;    3;   -999;  22.1;  27.4;  70.1;  16.4;eor
         44;202506251440;    3;   -999;  22.8;  28.9;  71.4;  17.4;eor
         44;202506251450;    3;   -999;  21.8;  24.5;  70.1;  16.1;eor
         44;202506251500;    2;   -999;  21.7;  23.8;  74.4;  17.0;eor
         44;202506251510;    2;   -999;  21.5;  23.9;  71.8;  16.2;eor
         44;202506251520;    2;   -999;  22.2;  26.5;  72.9;  17.1;eor
         44;202506251530;    2;   -999;  22.9;  28.4;  68.6;  16.8;eor
         44;202506251540;    2;   -999;  22.6;  26.5;  69.4;  16.7;eor
         44;202506251550;    2;   -999;  22.4;  25.2;  70.4;  16.8;eor
         44;202506251600;    2;   -999;  22.5;  25.9;  70.4;  16.8;eor
         44;202506251610;    2;   -999;  22.6;  24.3;  71.7;  17.2;eor
         44;202506251620;    2;   -999;  22.2;  24.0;  69.9;  16.4;eor
         44;202506251630;    2;   -999;  22.8;  25.4;  68.2;  16.6;eor
         44;202506251640;    2;   -999;  22.8;  25.3;  66.9;  16.3;eor
         44;202506251650;    2;   -999;  23.0;  25.1;  67.7;  16.7;eor
