stations_id,station_name,bundesland,bundesland_en
6265,Wusterwitz,Brandenburg,Brandenburg
6266,Huy-Pabstorf,Sachsen-Anhalt,Saxony-Anhalt
6272,Salzungen, Bad-Gräfen-Nitzendorf,Thüringen,Thuringia
6273,Demker,Sachsen-Anhalt,Saxony-Anhalt
6275,Notzingen,Baden-Württemberg,Baden-Württemberg
6305,Mühlhausen/Thüringen-Görmar,Thüringen,Thuringia
6310,Karlshagen,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania
6312,Markt Erlbach-Mosbach,Bayern,Bavaria
6314,Nossen,Sachsen,Saxony
6336,Lohr/Main-Halsbach,Bayern,Bavaria
6337,Lüdinghausen-Brochtrup,Nordrhein-Westfalen,North Rhine-Westphalia
6344,Runkel-Ennerich,Hessen,Hesse
6346,Maisach-Galgen,Bayern,Bavaria
6347,Schonungen-Mainberg,Bayern,Bavaria
7075,Elsendorf-Horneck,Bayern,Bavaria
7099,Liebenburg-Othfresen,Niedersachsen,Lower Saxony
7105,Siegsdorf-Höll,Bayern,Bavaria
7106,Bielefeld-Deppendorf,Nordrhein-Westfalen,North Rhine-Westphalia
7187,Freudenberg/Main-Boxtal,Baden-Württemberg,Baden-Württemberg
7244,Neuglobsow (HM),Brandenburg,Brandenburg
7298,Hattstedt,Schleswig-Holstein,Schleswig-Holstein
7319,Donauwörth-Osterweiler,Bayern,Bavaria
7321,Olbersleben,Thüringen,Thuringia
7325,Schneefernerhaus,Bayern,Bavaria
7329,Treuen,Sachsen,Saxony
7330,Arnsberg-Neheim,Nordrhein-Westfalen,North Rhine-Westphalia
7331,Hermaringen-Allewind,Baden-Württemberg,Baden-Württemberg
7341,Offenbach-Wetterpark,Hessen,Hesse
7343,Deutschneudorf-Brüderwiese,Sachsen,Saxony
7350,Prackenbach-Neuhäusl,Bayern,Bavaria
7351,Feldberg/Mecklenburg,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania
7364,Jeßnitz,Sachsen-Anhalt,Saxony-Anhalt
7367,Alfeld,Niedersachsen,Lower Saxony
7368,Eisenach,Thüringen,Thuringia
7369,Feuchtwangen-Heilbronn,Bayern,Bavaria
7370,Waldmünchen,Bayern,Bavaria
7373,Borkum-Flugplatz,Niedersachsen,Lower Saxony
7374,Ahaus,Nordrhein-Westfalen,North Rhine-Westphalia
7389,Heckelberg,Brandenburg,Brandenburg
7393,Hoyerswerda,Sachsen,Saxony
7394,Wunsiedel-Schönbrunn,Bayern,Bavaria
7395,Gottfrieding,Bayern,Bavaria
7396,Hoherodskopf/Vogelsberg,Hessen,Hesse
7403,Leutkirch-Herlazhofen,Baden-Württemberg,Baden-Württemberg
7410,Neu-Ulrichstein,Hessen,Hesse
7412,Neuhütten/Spessart,Bayern,Bavaria
7419,Langenwetzendorf-Göttendorf,Thüringen,Thuringia
7420,Naumburg/Saale-Kreipitzsch,Sachsen-Anhalt,Saxony-Anhalt
7424,Piding,Bayern,Bavaria
7427,Padenstedt (Pony-Park),Schleswig-Holstein,Schleswig-Holstein
7428,Veilsdorf,Thüringen,Thuringia
7431,Oberhaching-Laufzorn,Bayern,Bavaria
7432,Wittingen-Vorhop,Niedersachsen,Lower Saxony
13670,Duisburg-Baerl,Nordrhein-Westfalen,North Rhine-Westphalia
13674,Waibstadt,Baden-Württemberg,Baden-Württemberg
13675,Hameln-Hastenbeck,Niedersachsen,Lower Saxony
13696,Waltrop-Abdinghof,Nordrhein-Westfalen,North Rhine-Westphalia
13700,Gevelsberg-Oberbröking,Nordrhein-Westfalen,North Rhine-Westphalia
13710,Landshut-Reithof,Bayern,Bavaria
13711,Krölpa-Rockendorf,Thüringen,Thuringia
13713,Meinerzhagen-Redlendorf,Nordrhein-Westfalen,North Rhine-Westphalia
13776,Hildesheim-Drispenstedt,Niedersachsen,Lower Saxony
13777,Helmstedt-Emmerstedt,Niedersachsen,Lower Saxony
13965,Balingen-Bronnhaupten,Baden-Württemberg,Baden-Württemberg
14138,Falkenberg (Grenzschichtmessfeld),Brandenburg,Brandenburg
15000,Aachen-Orsbach,Nordrhein-Westfalen,North Rhine-Westphalia
15207,Schauenburg-Elgershausen,Hessen,Hesse
15444,Ulm-Mähringen,Baden-Württemberg,Baden-Württemberg
15555,Kaufbeuren-Oberbeuren,Bayern,Bavaria
15813,Lingen-Baccum,Niedersachsen,Lower Saxony
19171,Hasenkrug-Hardebek,Schleswig-Holstein,Schleswig-Holstein
19172,Wacken,Schleswig-Holstein,Schleswig-Holstein
19207,Gülzow-Prüzen,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania
19856,Schönau am Königssee,Bayern,Bavaria
20098,Seebach (Nationalpark Schwarzwald),Baden-Württemberg,Baden-Württemberg
