stations_id,station_name,bundesland,bundesland_en
1332,Falkenberg,Kr.Rottal-Inn,Bayern,Bavaria
1346,Feldberg/Schwarzwald,Baden-Württemberg,Baden-Württemberg
1357,Fichtelberg/Oberfranken-Hüttstadl,Bayern,Bavaria
1358,Fichtelberg,Sachsen,Saxony
1411,Birx/Rhön,Thüringen,Thuringia
1420,Frankfurt/Main,Hessen,Hesse
1424,Frankfurt/Main-Westend,Hessen,Hesse
1443,Freiburg,Baden-Württemberg,Baden-Württemberg
1451,Freiburg/Elbe,Niedersachsen,Lower Saxony
1467,Freudenstadt-Kurgarten,Baden-Württemberg,Baden-Württemberg
1468,Freudenstadt,Baden-Württemberg,Baden-Württemberg
1473,Freystadt-Michelbach,Bayern,Bavaria
1503,Friesoythe-Altenoythe,Niedersachsen,Lower Saxony
1526,Fulda-Horas,Hessen,Hesse
1544,Gardelegen,Sachsen-Anhalt,Saxony-Anhalt
1550,Garmisch-Partenkirchen,Bayern,Bavaria
1580,Geisenheim,Hessen,Hesse
1584,Geisingen,Baden-Württemberg,Baden-Württemberg
1587,Gelbelsee,Bayern,Bavaria
1590,Geldern-Walbeck,Nordrhein-Westfalen,North Rhine-Westphalia
1602,Ohlsbach,Baden-Württemberg,Baden-Württemberg
1605,Genthin,Sachsen-Anhalt,Saxony-Anhalt
1612,Gera-Leumnitz,Thüringen,Thuringia
1639,Gießen/Wettenberg,Hessen,Hesse
1645,Gilserberg-Moischeid,Hessen,Hesse
1684,Görlitz,Sachsen,Saxony
1691,Göttingen,Niedersachsen,Lower Saxony
1694,Goldberg,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania
1721,Gräfenberg-Kasberg,Bayern,Bavaria
1735,Grainet-Rehberg,Bayern,Bavaria
1736,Grambek,Schleswig-Holstein,Schleswig-Holstein
1757,Greifswald,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania
1759,Greifswalder Oie,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania
1766,Münster/Osnabrück,Nordrhein-Westfalen,North Rhine-Westphalia
1792,Groß Berßen,Niedersachsen,Lower Saxony
1803,Sanitz-Groß Lüsewitz,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania
1832,Großer Arber,Bayern,Bavaria
1863,Gründau-Breitenborn,Hessen,Hesse
1869,Grünow,Brandenburg,Brandenburg
1886,Günzburg,Bayern,Bavaria
1957,Halle-Kröllwitz,Sachsen-Anhalt,Saxony-Anhalt
1964,Olsdorf,Rheinland-Pfalz,Rhineland-Palatinate
1975,Hamburg-Fuhlsbüttel,Hamburg,Hamburg
1981,Hamburg-Neuwiedenthal,Hamburg,Hamburg
2014,Hannover,Niedersachsen,Lower Saxony
2023,Harburg,Bayern,Bavaria
2039,Harzburg, Bad,Niedersachsen,Lower Saxony
2044,Harzgerode,Sachsen-Anhalt,Saxony-Anhalt
2074,Hechingen,Baden-Württemberg,Baden-Württemberg
2080,Heidelberg,Baden-Württemberg,Baden-Württemberg
2088,Heidenheim/Brenz,Baden-Württemberg,Baden-Württemberg
2110,Heinsberg-Schleiden,Nordrhein-Westfalen,North Rhine-Westphalia
2115,Helgoland,Schleswig-Holstein,Schleswig-Holstein
2158,Herrenalb, Bad,Baden-Württemberg,Baden-Württemberg
2167,Niederwörresbach,Rheinland-Pfalz,Rhineland-Palatinate
2171,Hersfeld, Bad,Hessen,Hesse
2174,Herzberg,Niedersachsen,Lower Saxony
2201,Hiddensee-Vitte,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania
2211,Hilgenroth,Rheinland-Pfalz,Rhineland-Palatinate
2244,Höchenschwand,Baden-Württemberg,Baden-Württemberg
2252,Bertsdorf-Hörnitz,Sachsen,Saxony
2261,Hof,Bayern,Bavaria
2290,Hohenpeißenberg,Bayern,Bavaria
2306,Hohwacht,Schleswig-Holstein,Schleswig-Holstein
2319,Holzkirchen,Bayern,Bavaria
2323,Bevern, Kr. Holzminden,Niedersachsen,Lower Saxony
2362,Hümmerich,Rheinland-Pfalz,Rhineland-Palatinate
2423,Isny,Baden-Württemberg,Baden-Württemberg
2429,Itzehoe,Schleswig-Holstein,Schleswig-Holstein
2444,Jena (Sternwarte),Thüringen,Thuringia
2480,Kahl/Main,Bayern,Bavaria
2483,Kahler Asten,Nordrhein-Westfalen,North Rhine-Westphalia
2485,Kaisersbach-Cronhütte,Baden-Württemberg,Baden-Württemberg
2486,Kaiserslautern,Rheinland-Pfalz,Rhineland-Palatinate
2497,Kall-Sistig,Nordrhein-Westfalen,North Rhine-Westphalia
2503,Kaltennordheim,Thüringen,Thuringia
2522,Karlsruhe,Baden-Württemberg,Baden-Württemberg
2532,Kassel,Hessen,Hesse
2542,Kaufbeuren,Bayern,Bavaria
2559,Kempten,Bayern,Bavaria
2564,Kiel-Holtenau,Schleswig-Holstein,Schleswig-Holstein
2575,Kirchberg/Jagst-Herboldshausen,Baden-Württemberg,Baden-Württemberg
2578,Kirchdorf/Poel,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania
2597,Kissingen, Bad,Bayern,Bavaria
2600,Kitzingen,Bayern,Bavaria
2601,Kleiner Feldberg/Taunus,Hessen,Hesse
2618,Kleiner Inselsberg,Thüringen,Thuringia
2627,Schipkau-Klettwitz,Brandenburg,Brandenburg
2629,Kleve,Nordrhein-Westfalen,North Rhine-Westphalia
2638,Klippeneck,Baden-Württemberg,Baden-Württemberg
2641,Klitzschen bei Torgau,Sachsen,Saxony
2667,Köln/Bonn,Nordrhein-Westfalen,North Rhine-Westphalia
2680,Königshofen, Bad,Bayern,Bavaria
2700,Kösching,Bayern,Bavaria
2704,Köthen (Anhalt),Sachsen-Anhalt,Saxony-Anhalt
2708,Kohlgrub, Bad (Rosshof),Bayern,Bavaria
2712,Konstanz,Baden-Württemberg,Baden-Württemberg
2738,Kreuth,Bayern,Bavaria
2750,Kronach,Bayern,Bavaria
2794,Kyritz,Brandenburg,Brandenburg
2812,Lahr,Baden-Württemberg,Baden-Württemberg
2814,Merklingen,Baden-Württemberg,Baden-Württemberg
2856,Langenlipsdorf,Brandenburg,Brandenburg
2878,Lauchstädt, Bad,Sachsen-Anhalt,Saxony-Anhalt
2907,Leck,Schleswig-Holstein,Schleswig-Holstein
2925,Leinefelde,Thüringen,Thuringia
2928,Leipzig-Holzhausen,Sachsen,Saxony
2932,Leipzig/Halle,Sachsen,Saxony
2947,Lennestadt-Theten,Nordrhein-Westfalen,North Rhine-Westphalia
2951,Lenzen/Elbe,Brandenburg,Brandenburg
2953,Lenzkirch-Ruhbühl,Baden-Württemberg,Baden-Württemberg
2961,Leuchtturm Kiel,Schleswig-Holstein,Schleswig-Holstein
2968,Köln-Stammheim,Nordrhein-Westfalen,North Rhine-Westphalia
2985,Lichtenhain-Mittelndorf,Sachsen,Saxony
3015,Lindenberg,Brandenburg,Brandenburg
3023,Lingen,Niedersachsen,Lower Saxony
3028,Lippspringe, Bad,Nordrhein-Westfalen,North Rhine-Westphalia
3031,Lippstadt-Bökenförde,Nordrhein-Westfalen,North Rhine-Westphalia
3032,List auf Sylt,Schleswig-Holstein,Schleswig-Holstein
3034,Lobenstein, Bad,Thüringen,Thuringia
3042,Löhnberg-Obershausen,Hessen,Hesse
3044,Löningen,Niedersachsen,Lower Saxony
3083,Lübben-Blumenfelde,Brandenburg,Brandenburg
